step,V,test_fail,recursive_residual,node_count,energy,rejected,in_S,action,extra
0,10.0,1,0,0,0.0,False,False,init,
1,0.0,1,0,0,0.0,False,False,step,
2,0.0,1,0,0,0.0,False,False,step,
3,0.0,1,0,0,0.0,False,False,step,
4,0.0,1,0,0,0.0,False,False,step,
5,0.0,1,0,0,0.0,False,False,step,
6,0.0,1,0,0,0.0,False,False,step,
7,0.0,1,0,0,0.0,False,False,step,
8,0.0,1,0,0,0.0,False,False,step,
9,0.0,1,0,0,0.0,False,False,step,
10,0.0,1,0,0,0.0,False,False,step,
11,0.0,1,0,0,0.0,False,False,step,
12,0.0,1,0,0,0.0,False,False,step,
13,0.0,1,0,0,0.0,False,False,step,
14,0.0,1,0,0,0.0,False,False,step,
15,0.0,1,0,0,0.0,False,False,step,
